latitude,longitude,speed,heading,ignition,engine_running,state,hour,minute,day,month,day_of_week,week_of_year,is_weekend,is_night,previous_speed,speed_change,acceleration,is_moving,is_speeding,speed_normalized,speed_category_encoded
24.970899,67.211741,14.61,200,1,1,0,18,46,27,7,0,31,0,0,0.0,14.61,14.61,1,0,0.10436459747124793,1
25.027595,67.003448,90.65,157,1,1,0,17,51,27,7,0,31,0,0,0.0,90.65,90.65,1,0,0.6475462533038074,4
25.04021,67.29381,75.48,320,1,1,0,7,52,28,7,1,31,0,0,0.0,75.48,75.48,1,0,0.5391813700978642,3
24.869734,67.25868,45.96,29,1,1,0,19,14,27,7,0,31,0,0,0.0,45.96,45.96,1,0,0.3283091649403529,2
25.066262,67.089264,129.5,181,1,1,0,10,35,28,7,1,31,0,0,0.0,129.5,129.5,1,1,0.9250660761482963,4
25.039099,67.128614,128.22,61,1,1,0,17,4,27,7,0,31,0,0,0.0,128.22,128.22,1,1,0.915922565897564,4
24.962576,67.049883,104.67,115,1,1,0,0,53,28,7,1,31,0,1,0.0,104.67,104.67,1,1,0.7476962640188585,4
24.998616,67.014182,89.89,127,1,1,0,9,13,28,7,1,31,0,0,0.0,89.89,89.89,1,0,0.6421172940924351,3
24.924315,67.226697,59.24,36,1,1,0,8,9,28,7,1,31,0,0,0.0,59.24,59.24,1,0,0.4231730837916994,2
25.079241,66.971961,76.02,237,1,1,0,6,49,28,7,1,31,0,0,0.0,76.02,76.02,1,0,0.5430387884848917,3
24.910127,67.246268,63.5,223,1,1,0,9,8,28,7,1,31,0,0,0.0,63.5,63.5,1,0,0.45360382884491746,3
24.84576,67.215079,122.23,213,1,1,0,20,42,27,7,0,31,0,1,0.0,122.23,122.23,1,1,0.8731337952710908,4
24.966311,67.138899,92.67,78,1,1,0,5,26,28,7,1,31,0,1,0.0,92.67,92.67,1,0,0.6619758554182441,4
24.751192,67.011463,56.94,31,1,1,0,11,50,27,7,0,31,0,0,0.0,56.94,56.94,1,0,0.406743338809915,2
24.909753,67.013794,40.63,9,1,1,0,20,31,27,7,0,31,0,1,0.0,40.63,40.63,1,0,0.2902350167869133,2
25.092633,67.284625,94.38,91,1,1,0,1,24,28,7,1,31,0,1,0.0,94.38,94.38,1,0,0.6741910136438316,4
25.033628,67.240714,26.58,158,1,1,0,1,20,28,7,1,31,0,1,0.0,26.58,26.58,1,0,0.18987070505036072,1
24.922357,67.107703,103.51,319,1,1,0,17,3,27,7,0,31,0,0,0.0,103.51,103.51,1,1,0.7394099578541324,4
24.982104,67.232728,63.61,355,1,1,0,13,42,27,7,0,31,0,0,0.0,63.61,63.61,1,0,0.45438959925708977,3
24.870407,67.042992,93.18,350,1,1,0,3,20,28,7,1,31,0,1,0.0,93.18,93.18,1,0,0.6656189727837702,4
24.826711,67.1991,117.39,191,1,1,0,16,9,27,7,0,31,0,0,0.0,117.39,117.39,1,1,0.8385598971355096,4
24.944598,67.248329,74.01,262,1,1,0,18,36,27,7,0,31,0,0,0.0,74.01,74.01,1,0,0.5286806200442888,3
25.096348,67.140602,134.07,9,1,1,0,7,14,28,7,1,31,0,0,0.0,134.07,134.07,1,1,0.9577112650903635,4
24.758342,66.982581,60.45,290,1,1,0,5,4,28,7,1,31,0,1,0.0,60.45,60.45,1,0,0.4318165583255947,3
24.858557,67.276697,1.31,335,1,1,0,13,58,27,7,0,31,0,0,0.0,1.31,1.31,1,0,0.009357811272233731,1
24.978716,67.018876,118.95,141,1,1,0,23,58,27,7,0,31,0,1,0.0,118.95,118.95,1,1,0.8497035502535895,4
24.8244,67.232567,25.76,332,1,1,0,6,17,28,7,1,31,0,0,0.0,25.76,25.76,1,0,0.18401314379598543,1
25.077056,67.164634,128.41,131,1,1,0,1,23,28,7,1,31,0,1,0.0,128.41,128.41,1,1,0.9172798057004071,4
24.808647,67.146758,93.78,284,1,1,0,18,35,27,7,0,31,0,0,0.0,93.78,93.78,1,0,0.6699049932138009,4
24.989865,67.244093,100.43,91,1,1,0,22,28,27,7,0,31,0,1,0.0,100.43,100.43,1,1,0.717408386313308,4
24.9202,67.282302,0.55,113,1,1,0,11,32,27,7,0,31,0,0,0.0,0.55,0.55,1,0,0.00392885206086149,1
24.990395,67.153249,88.24,325,1,1,0,23,46,27,7,0,31,0,1,0.0,88.24,88.24,1,0,0.6303307379098506,3
24.838393,67.219139,34.4,122,1,1,0,19,0,27,7,0,31,0,0,0.0,34.4,34.4,1,0,0.2457318379884277,2
24.802895,67.280026,84.33,296,1,1,0,4,38,28,7,1,31,0,1,0.0,84.33,84.33,1,0,0.6024001714408171,3
24.992768,66.915903,58.45,209,1,1,0,20,50,27,7,0,31,0,1,0.0,58.45,58.45,1,0,0.4175298235588256,2
24.91158,67.214825,98.11,206,1,1,0,22,6,27,7,0,31,0,1,0.0,98.11,98.11,1,0,0.700835773983856,4
25.090333,67.156935,115.27,230,1,1,0,18,23,27,7,0,31,0,0,0.0,115.27,115.27,1,1,0.8234159582827344,4
24.995392,67.250887,2.08,98,1,1,0,15,20,27,7,0,31,0,0,0.0,2.08,2.08,1,0,0.014858204157439816,1
25.062615,67.027664,128.55,96,1,1,0,0,6,28,7,1,31,0,1,0.0,128.55,128.55,1,1,0.918279877134081,4
24.941248,67.200142,103.6,280,1,1,0,17,45,27,7,0,31,0,0,0.0,103.6,103.6,1,1,0.740052860918637,4
24.766183,66.930991,25.88,249,1,1,0,5,41,28,7,1,31,0,1,0.0,25.88,25.88,1,0,0.18487034788199155,1
24.802128,67.221532,41.36,20,1,1,0,6,25,28,7,1,31,0,0,0.0,41.36,41.36,1,0,0.29544967497678404,2
24.87195,66.980122,64.12,127,1,1,0,1,51,28,7,1,31,0,1,0.0,64.12,64.12,1,0,0.4580327166226159,3
24.853937,67.24898,34.11,359,1,1,0,4,35,28,7,1,31,0,1,0.0,34.11,34.11,1,0,0.2436602614472462,2
24.914923,66.913074,21.26,149,1,1,0,21,59,27,7,0,31,0,1,0.0,21.26,21.26,1,0,0.15186799057075506,1
24.959743,67.002704,99.24,240,1,1,0,17,58,27,7,0,31,0,0,0.0,99.24,99.24,1,0,0.7089077791270805,4
24.784106,66.987449,62.91,96,1,1,0,20,3,27,7,0,31,0,1,0.0,62.91,62.91,1,0,0.44938924208872055,3
24.758947,66.997961,46.53,105,1,1,0,7,11,28,7,1,31,0,0,0.0,46.53,46.53,1,0,0.332380884348882,2
24.88115,67.276992,136.51,150,1,1,0,12,42,27,7,0,31,0,0,0.0,136.51,136.51,1,1,0.9751410815058217,4
25.072486,67.119224,121.76,52,1,1,0,13,9,27,7,0,31,0,0,0.0,121.76,121.76,1,1,0.8697764126009,4
25.037784,67.116504,32.51,312,1,1,0,18,48,27,7,0,31,0,0,0.0,32.51,32.51,1,0,0.23223087363383096,2
25.086009,67.228672,12.46,235,1,1,0,14,8,27,7,0,31,0,0,0.0,12.46,12.46,1,0,0.08900635759697122,1
24.917786,67.106814,8.71,316,1,1,0,23,13,27,7,0,31,0,1,0.0,8.71,8.71,1,0,0.062218729909279236,1
25.046478,67.276615,134.24,350,1,1,0,15,36,27,7,0,31,0,0,0.0,134.24,134.24,1,1,0.958925637545539,4
25.042067,67.130213,107.49,310,1,1,0,10,28,28,7,1,31,0,0,0.0,107.49,107.49,1,1,0.7678405600400028,4
25.058135,66.954825,81.98,124,1,1,0,17,51,27,7,0,31,0,0,0.0,81.98,81.98,1,0,0.5856132580898635,3
24.876818,67.158609,70.62,351,1,1,0,20,6,27,7,0,31,0,1,0.0,70.62,70.62,1,0,0.5044646046146153,3
24.957386,67.264156,34.67,33,1,1,0,0,15,28,7,1,31,0,1,0.0,34.67,34.67,1,0,0.24766054718194155,2
25.031753,66.980665,102.89,293,1,1,0,21,47,27,7,0,31,0,1,0.0,102.89,102.89,1,1,0.734981070076434,4
24.818757,66.980584,4.67,322,1,1,0,10,17,28,7,1,31,0,0,0.0,4.67,4.67,1,0,0.03335952568040574,1
24.878252,67.159269,65.15,34,1,1,0,14,56,27,7,0,31,0,0,0.0,65.15,65.15,1,0,0.46539038502750196,3
24.777339,66.958596,60.43,57,1,1,0,14,38,27,7,0,31,0,0,0.0,60.43,60.43,1,0,0.43167369097792696,3
24.867727,67.295877,59.61,4,1,1,0,13,2,27,7,0,31,0,0,0.0,59.61,59.61,1,0,0.42581612972355165,2
24.965074,67.294492,8.46,113,1,1,0,6,12,28,7,1,31,0,0,0.0,8.46,8.46,1,0,0.0604328880634331,1
25.081907,67.259024,61.87,39,1,1,0,16,39,27,7,0,31,0,0,0.0,61.87,61.87,1,0,0.44196014001000067,3
24.909248,67.007092,83.95,113,1,1,0,3,31,28,7,1,31,0,1,0.0,83.95,83.95,1,0,0.5996856918351311,3
25.048348,67.215321,76.62,349,1,1,0,9,35,28,7,1,31,0,0,0.0,76.62,76.62,1,0,0.5473248089149225,3
24.927771,67.254906,81.73,84,1,1,0,5,39,28,7,1,31,0,1,0.0,81.73,81.73,1,0,0.5838274162440175,3
24.962561,67.07368,60.39,27,1,1,0,7,39,28,7,1,31,0,0,0.0,60.39,60.39,1,0,0.4313879562825916,3
24.857766,67.287809,15.5,80,1,1,0,2,13,28,7,1,31,0,1,0.0,15.5,15.5,1,0,0.11072219444246016,1
24.752783,67.222269,36.94,290,1,1,0,8,50,28,7,1,31,0,0,0.0,36.94,36.94,1,0,0.26387599114222443,2
24.957805,67.293542,1.35,228,1,1,0,9,39,28,7,1,31,0,0,0.0,1.35,1.35,1,0,0.009643545967569112,1
24.781604,67.137632,90.25,196,1,1,0,18,30,27,7,0,31,0,0,0.0,90.25,90.25,1,0,0.6446889063504536,4
24.844133,67.105309,77.23,107,1,1,0,1,57,28,7,1,31,0,1,0.0,77.23,77.23,1,0,0.5516822630187871,3
25.001105,67.194401,90.16,195,1,1,0,11,32,27,7,0,31,0,0,0.0,90.16,90.16,1,0,0.644046003285949,4
24.798892,67.065954,8.64,221,1,1,0,3,59,28,7,1,31,0,1,0.0,8.64,8.64,1,0,0.06171869419244232,1
24.818257,67.15026,82.72,0,1,1,0,18,48,27,7,0,31,0,0,0.0,82.72,82.72,1,0,0.5908993499535681,3
24.810282,67.142236,102.43,237,1,1,0,18,44,27,7,0,31,0,0,0.0,102.43,102.43,1,1,0.7316951210800772,4
24.969755,66.94856,72.87,297,1,1,0,3,54,28,7,1,31,0,1,0.0,72.87,72.87,1,0,0.5205371812272305,3
24.813129,67.216985,101.74,14,1,1,0,0,47,28,7,1,31,0,1,0.0,101.74,101.74,1,1,0.7267661975855417,4
25.026926,66.909777,131.64,135,1,1,0,1,31,28,7,1,31,0,1,0.0,131.64,131.64,1,1,0.940352882348739,4
25.010635,66.983139,107.82,11,1,1,0,4,46,28,7,1,31,0,1,0.0,107.82,107.82,1,1,0.7701978712765196,4
24.845581,66.931184,61.99,176,1,1,0,18,40,27,7,0,31,0,0,0.0,61.99,61.99,1,0,0.44281734409600687,3
24.946464,67.03812,135.48,106,1,1,0,16,4,27,7,0,31,0,0,0.0,135.48,135.48,1,1,0.9677834131009356,4
24.862364,67.118849,82.94,183,1,1,0,4,37,28,7,1,31,0,1,0.0,82.94,82.94,1,0,0.5924708907779127,3
24.840232,66.902188,83.76,3,1,1,0,14,18,27,7,0,31,0,0,0.0,83.76,83.76,1,0,0.598328452032288,3
24.797916,67.025175,118.34,35,1,1,0,14,41,27,7,0,31,0,0,0.0,118.34,118.34,1,1,0.845346096149725,4
24.843557,67.263621,71.89,267,1,1,0,5,33,28,7,1,31,0,1,0.0,71.89,71.89,1,0,0.5135366811915136,3
24.931518,66.956088,24.83,240,1,1,0,9,55,28,7,1,31,0,0,0.0,24.83,24.83,1,0,0.17736981212943778,1
25.000863,67.000309,60.64,149,1,1,0,11,44,27,7,0,31,0,0,0.0,60.64,60.64,1,0,0.4331737981284377,3
24.885907,67.068024,93.43,76,1,1,0,5,1,28,7,1,31,0,1,0.0,93.43,93.43,1,0,0.6674048146296164,4
24.970975,67.162252,37.25,319,1,1,0,6,37,28,7,1,31,0,0,0.0,37.25,37.25,1,0,0.26609043503107366,2
24.751738,67.16422,138.94,196,1,1,0,22,58,27,7,0,31,0,1,0.0,138.94,138.94,1,1,0.9924994642474462,4
24.808842,67.201597,13.44,83,1,1,0,11,18,28,7,1,31,0,0,0.0,13.44,13.44,1,0,0.09600685763268804,1
24.794582,67.096794,120.78,129,1,1,0,22,6,27,7,0,31,0,1,0.0,120.78,120.78,1,1,0.8627759125651832,4
24.830192,67.060534,62.36,38,1,1,0,1,35,28,7,1,31,0,1,0.0,62.36,62.36,1,0,0.4454603900278591,3
24.841971,67.149988,74.8,118,1,1,0,21,0,27,7,0,31,0,1,0.0,74.8,74.8,1,0,0.5343238802771626,3
24.844005,67.048976,6.9,172,1,1,0,0,19,28,7,1,31,0,1,0.0,6.9,6.9,1,0,0.04928923494535324,1
25.092796,66.960875,84.14,76,1,1,0,3,19,28,7,1,31,0,1,0.0,84.14,84.14,1,0,0.6010429316379741,3
24.7939,67.258391,103.72,354,1,1,0,2,31,28,7,1,31,0,1,0.0,103.72,103.72,1,1,0.7409100650046432,4
24.951646,67.056882,7.17,230,1,1,0,22,10,27,7,0,31,0,1,0.0,7.17,7.17,1,0,0.05121794413886706,1
25.045622,67.228508,66.59,294,1,1,0,17,37,27,7,0,31,0,0,0.0,66.59,66.59,1,0,0.47567683405957567,3
25.083466,67.262231,21.95,295,1,1,0,15,13,27,7,0,31,0,0,0.0,21.95,21.95,1,0,0.15679691406529037,1
24.78628,66.970751,85.86,51,1,1,0,7,59,28,7,1,31,0,0,0.0,85.86,85.86,1,0,0.6133295235373954,3
24.758926,67.124666,53.18,234,1,1,0,5,39,28,7,1,31,0,1,0.0,53.18,53.18,1,0,0.37988427744838915,2
24.800004,67.213517,41.16,215,1,1,0,9,34,28,7,1,31,0,0,0.0,41.16,41.16,1,0,0.2940210015001071,2
24.869913,67.159263,56.18,324,1,1,0,17,35,27,7,0,31,0,0,0.0,56.18,56.18,1,0,0.4013143795985427,2
25.004108,67.199666,117.76,36,1,1,0,4,40,28,7,1,31,0,1,0.0,117.76,117.76,1,1,0.841202943067362,4
25.036264,67.165917,121.86,81,1,1,0,13,22,27,7,0,31,0,0,0.0,121.86,121.86,1,1,0.8704907493392384,4
24.999731,67.291614,74.12,333,1,1,0,10,30,28,7,1,31,0,0,0.0,74.12,74.12,1,0,0.5294663904564612,3
24.861225,67.080258,86.73,315,1,1,0,0,13,28,7,1,31,0,1,0.0,86.73,86.73,1,0,0.6195442531609401,3
24.822567,67.044602,129.57,121,1,1,0,21,34,27,7,0,31,0,1,0.0,129.57,129.57,1,1,0.9255661118651332,4
24.857223,66.966998,75.31,199,1,1,0,4,3,28,7,1,31,0,1,0.0,75.31,75.31,1,0,0.5379669976426887,3
24.938903,66.98771,50.67,320,1,1,0,3,46,28,7,1,31,0,1,0.0,50.67,50.67,1,0,0.361954425316094,2
24.9447,66.965718,130.85,49,1,1,0,12,30,27,7,0,31,0,0,0.0,130.85,130.85,1,1,0.9347096221158653,4
24.850793,66.901243,89.17,94,1,1,0,17,1,27,7,0,31,0,0,0.0,89.17,89.17,1,0,0.6369740695763982,3
24.777898,66.919119,64.67,147,1,1,0,22,12,27,7,0,31,0,1,0.0,64.67,64.67,1,0,0.4619615686834774,3
24.961327,66.948414,16.06,49,1,1,0,2,21,28,7,1,31,0,1,0.0,16.06,16.06,1,0,0.1147224801771555,1
25.016301,67.189283,17.38,78,1,1,0,15,55,27,7,0,31,0,0,0.0,17.38,17.38,1,0,0.12415172512322308,1
