id,vehicle_id,latitude,longitude,speed,heading,ignition,engine_running,state,last_seen,created_at,updated_at
b0bd0125-2730-4fb7-94fa-13e4cc7c1962,38780ddc-c7aa-4710-ae69-a7a789453347,24.84626,66.989284,89.52,52,True,True,MOVING,2026-07-27 15:29:45.111405,2026-07-27 15:29:45.111405,2026-07-27 15:29:45.111405
389041db-0991-49b8-b5d7-b362c3cf5eed,8c01f5ce-4f8c-4814-8697-21470ac8063c,24.760429,66.987455,12.17,258,True,True,MOVING,2026-07-27 13:26:00.111405,2026-07-27 13:26:00.111405,2026-07-27 13:26:00.111405
645310d0-480e-49bb-a057-bc65f0aaca6f,319224c7-8e37-4898-8fee-84b62bd4efcc,24.97746,67.117977,3.72,112,True,True,MOVING,2026-07-27 18:59:49.111405,2026-07-27 18:59:49.111405,2026-07-27 18:59:49.111405
94ad9e8a-3185-402f-b5df-29d5f09a564f,83bb8818-8a2f-4500-a4e6-77186be3ce5b,24.752275,67.222328,82.5,357,True,True,IDLE,2026-07-27 19:57:55.111405,2026-07-27 19:57:55.111405,2026-07-27 19:57:55.111405
b7d7858a-dc28-4c18-8800-48fff35bed46,8b3e3e35-e7f7-4ded-b5b2-88918b58e4fc,25.085025,67.034638,47.64,47,True,True,MOVING,2026-07-27 21:31:10.111405,2026-07-27 21:31:10.111405,2026-07-27 21:31:10.111405
bff17558-8643-4263-9031-bb52b8254b6e,3407da8c-4084-4453-8080-cc8da1a78771,24.961304,67.222851,13.54,235,True,True,IDLE,2026-07-27 15:49:43.111405,2026-07-27 15:49:43.111405,2026-07-27 15:49:43.111405
4609cd9f-9e77-4672-84d9-9cdbd37bebfb,a03a90e8-09ed-4284-8b5e-a5759c4b0dbc,24.77758,67.017271,17.48,321,True,True,PARKED,2026-07-27 12:49:57.111405,2026-07-27 12:49:57.111405,2026-07-27 12:49:57.111405
220a18a6-ae32-474c-9b46-ff9bced4611f,148e8d83-b5b8-4b91-ae2b-a177b0aa7f2a,24.817301,66.927822,123.96,338,True,True,MOVING,2026-07-28 03:03:16.111405,2026-07-28 03:03:16.111405,2026-07-28 03:03:16.111405
f76191ff-aa7a-47da-b50e-6d7a420d3425,12a5033d-3701-4f26-9179-c4441c70b9a5,25.049361,67.246593,108.23,194,True,True,PARKED,2026-07-28 01:13:53.111405,2026-07-28 01:13:53.111405,2026-07-28 01:13:53.111405
6c9331bd-16b0-4a34-997f-4ce02ecb9af1,07b22c54-6823-4cdf-b338-3b50c99667bb,24.806929,67.042108,63.48,343,True,True,IDLE,2026-07-28 01:37:54.111405,2026-07-28 01:37:54.111405,2026-07-28 01:37:54.111405
7c2701dc-8299-4e7c-9650-057a23cae5af,1044c6a7-1865-4850-9ea2-ad52a8ddb86f,24.774991,67.153991,98.25,273,True,True,MOVING,2026-07-28 02:26:20.111405,2026-07-28 02:26:20.111405,2026-07-28 02:26:20.111405
36b6ab71-501f-4243-97e5-c97bc5297d1e,c2c33ae1-2950-45c0-a22e-746e872cd674,25.096333,67.156,22.88,285,True,True,MOVING,2026-07-28 03:21:22.111405,2026-07-28 03:21:22.111405,2026-07-28 03:21:22.111405
0d6ee772-f77b-4098-ab54-bef3dfae92ea,92d5d226-568c-43c8-a46f-7184deb78112,25.0216,66.991619,95.85,16,True,True,IDLE,2026-07-27 23:52:00.111405,2026-07-27 23:52:00.111405,2026-07-27 23:52:00.111405
3ac3fccc-27ad-477b-b70f-429e31837c95,d1961ec7-2c33-4e96-9809-d88dfd882177,25.069598,67.126872,56.16,161,True,True,MOVING,2026-07-28 03:36:38.111405,2026-07-28 03:36:38.111405,2026-07-28 03:36:38.111405
07d53921-9fd7-41af-b30c-ca4b1c877898,b140531f-8ef9-499b-b71c-4e9d5b4718b3,25.070092,67.083541,91.76,135,True,True,MOVING,2026-07-28 06:16:06.111405,2026-07-28 06:16:06.111405,2026-07-28 06:16:06.111405
d89d8447-820a-4a6e-8462-bb749f555b81,404f2860-431f-4f3c-8d77-450b390e5a37,24.84196,67.133834,34.53,298,True,True,MOVING,2026-07-27 20:48:37.111405,2026-07-27 20:48:37.111405,2026-07-27 20:48:37.111405
06c8baf6-e30c-4616-848a-d1cf659f8922,35fa44a2-9826-40d5-8ec0-86614850e221,24.798416,67.097406,50.68,24,True,True,PARKED,2026-07-28 07:21:36.111405,2026-07-28 07:21:36.111405,2026-07-28 07:21:36.111405
6f7cc53d-8501-416d-be6e-4af457b81f89,8bc8278b-eb1c-413f-a113-f2a3b615e1f2,24.988168,67.138564,21.4,197,True,True,MOVING,2026-07-27 21:27:28.111405,2026-07-27 21:27:28.111405,2026-07-27 21:27:28.111405
ae6c5764-664f-48ed-9eba-add7112d2f00,91dd7d81-15ce-4abf-ad0a-71bc72346e39,24.837995,67.12129,83.42,5,True,True,MOVING,2026-07-28 07:10:53.111405,2026-07-28 07:10:53.111405,2026-07-28 07:10:53.111405
7874f811-d89c-46de-9893-1527ca63b4ca,6ea671b2-a7e5-406e-8482-74ef0093296e,24.843389,67.156385,95.44,57,True,True,MOVING,2026-07-28 00:39:58.111405,2026-07-28 00:39:58.111405,2026-07-28 00:39:58.111405
8654d69b-c0bf-4c4a-9235-cfc6717bbf45,f69ee0f7-2327-42c6-91a8-9d0263f57a5e,25.083836,67.250341,60.87,134,True,True,MOVING,2026-07-27 17:07:35.111405,2026-07-27 17:07:35.111405,2026-07-27 17:07:35.111405
9d09d85d-ccde-4081-b679-f597868f74aa,ef34b35b-c214-4d87-aa7a-9f532f1a4f23,24.787244,67.15012,106.67,327,True,True,MOVING,2026-07-27 16:52:07.111405,2026-07-27 16:52:07.111405,2026-07-27 16:52:07.111405
2c484a9e-81be-4dc7-baa3-810db6cfa278,f22189b4-99af-4caf-aa5f-5ce5034bb9e8,25.016879,67.115752,85.26,271,True,True,MOVING,2026-07-28 11:19:53.111405,2026-07-28 11:19:53.111405,2026-07-28 11:19:53.111405
7b98bea3-b370-4b7a-9a5e-b316fd314a70,18246330-ecf5-4d1b-aaba-ead40734bd1a,24.789154,67.045192,83.85,157,True,True,MOVING,2026-07-28 02:38:02.111405,2026-07-28 02:38:02.111405,2026-07-28 02:38:02.111405
e64558e5-fe10-4131-8121-b6e2634aba9d,09d87a40-3296-4031-967f-f46a48bd1f95,25.081432,66.934261,8.11,248,True,True,IDLE,2026-07-28 08:49:56.111405,2026-07-28 08:49:56.111405,2026-07-28 08:49:56.111405
223784e7-284e-43d3-828c-2a4d684bb9d3,08a602c6-ab7e-4219-888b-1a96942024b1,24.794016,67.1639,136.92,281,True,True,MOVING,2026-07-28 05:20:24.111405,2026-07-28 05:20:24.111405,2026-07-28 05:20:24.111405
d2d62bf6-cdc5-4375-b18f-ab8b0328af91,ba66407b-5f2c-4a4d-9e0c-6d23d9f54993,24.898098,66.984719,37.11,276,True,True,IDLE,2026-07-28 04:01:42.111405,2026-07-28 04:01:42.111405,2026-07-28 04:01:42.111405
